query_id,theme_line,title_permutation,base_context,location,degree_filter,keywords,query_params_json,search_url,max_pages,enabled
Q001,Director / VP Claims Operations,Director Claims Operations,insurance,New York City Metropolitan Area,2nd,insurance Director Claims Operations New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Claims Operations New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Claims+Operations+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q002,Director / VP Claims Operations,VP Claims Operations,insurance,New York City Metropolitan Area,2nd,insurance VP Claims Operations New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Claims Operations New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Claims+Operations+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q003,Director / VP Claims Operations,Vice President Claims Operations,insurance,New York City Metropolitan Area,2nd,insurance Vice President Claims Operations New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Claims Operations New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Claims+Operations+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q004,Director / VP Policy Administration / Service Ops,Director Policy Administration,insurance,New York City Metropolitan Area,2nd,insurance Director Policy Administration New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Policy Administration New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Policy+Administration+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q005,Director / VP Policy Administration / Service Ops,Director Service Ops,insurance,New York City Metropolitan Area,2nd,insurance Director Service Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Service Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Service+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q006,Director / VP Policy Administration / Service Ops,Director Policy Administration Service Ops,insurance,New York City Metropolitan Area,2nd,insurance Director Policy Administration Service Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Policy Administration Service Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Policy+Administration+Service+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q007,Director / VP Policy Administration / Service Ops,Director Policy Administration Ops,insurance,New York City Metropolitan Area,2nd,insurance Director Policy Administration Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Policy Administration Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Policy+Administration+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q008,Director / VP Policy Administration / Service Ops,Director Policy Administration Operations,insurance,New York City Metropolitan Area,2nd,insurance Director Policy Administration Operations New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Policy Administration Operations New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Policy+Administration+Operations+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q009,Director / VP Policy Administration / Service Ops,VP Policy Administration,insurance,New York City Metropolitan Area,2nd,insurance VP Policy Administration New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Policy Administration New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Policy+Administration+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q010,Director / VP Policy Administration / Service Ops,VP Service Ops,insurance,New York City Metropolitan Area,2nd,insurance VP Service Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Service Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Service+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
